decision,approved_rule,phase,implementation_status,primary_existing_control,verification_gate,governance_rule_status,operational_detail_status
76,"QR resolution lands on a document-control status page before opening the controlled PDF. The page displays Document ID, current revision, lifecycle status, effective date, and supersession information.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
77,Public QR routes may expose non-sensitive document-control metadata. Restricted documents require authenticated retrieval. Confidential information and sensitive metadata must not be encoded directly in the QR payload.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
78,Do not use one year online followed by server archive as a universal retention rule. Apply class-specific retention. Dashboard residence is a storage tier and not the retention authority.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
79,Establish a formal retention schedule by record class after legal and contractual review. Do not invent retention periods during document drafting or automation.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
80,"Limit legal-hold authority to designated executive, legal, and records positions. A legal hold suspends deletion and disposition across every repository containing responsive records.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
81,Final destruction requires authorized records disposition and generates a disposition log or certificate for controlled record classes.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
82,Use verified electronic signatures where legally and contractually acceptable. Reserve wet ink for documents that require it. Maintain a signature-acceptance matrix by document class and jurisdiction.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
83,"Controlled binders require a checkout identifier, custodian, location, revision verification, return and reconciliation, replacement control, and documented destruction of obsolete controlled copies.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
84,"Treat `Words From the General`, `MISH`, `Built on Quality, Backed by Trust`, and other distinctive phrases as trademark-screening candidates. Prioritize marks that are commercially used and strategically valuable rather than assuming every phrase should be filed.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
85,A quote attributed to Jeremy Thamert must contain words he said or wording he expressly approved and adopted as his quote. Editorial drafting is permitted only when Jeremy affirmatively approves the final wording.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
86,Publish approved public extracts rather than entire uncontrolled drafts. A Draft watermark does not make uncontrolled internal content suitable for public release.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
87,"Establish publication classes `PUBLIC_FULL`, `PUBLIC_EXTRACT`, `INTERNAL`, and `RESTRICTED`. Assign classification by document family and risk instead of making ad hoc website decisions.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
88,"Restrict terms such as `infiltrate`, `Upper Brass`, and excessively militarized internal language from public and community-facing materials where the language may be misinterpreted. Preserve veteran-led brand discipline without creating an adversarial public tone.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
89,"Assign a defined intellectual-property, licensing, and rights-review position for final public release. Obtain legal review when trademark, copyright, licensing, privacy, or attribution exposure warrants it.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
90,"Retain licenses, receipts, subscriptions, or entitlement evidence for Adobe assets, fonts, icons, model and photo releases, client and subcontractor approvals, author/source attribution, and third-party content permissions. Link the evidence to the published asset.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
