Inventory Record ID,Document ID,Document ID Status,Baseline Package,Version,Lifecycle,QR Required,Class Basis,QR Target Ready,QR Verification Ready,Resolver Ready,QR Hard Blocker,Target Status,Verification Status,Development Note
tbt-32-01-paving-asphalt-and-flatwork-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-32-02-landscaping-equipment-and-chipper-safety-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-33-01-deep-sewer-and-water-main-trenching-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-33-02-manhole-installation-and-confined-space-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-01-portland-cement-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-02-pvc-solvent-cement-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-03-spray-polyurethane-foam-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-04-diesel-fuel-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-05-silica-dust-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-06-lead-paint-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-07-acetylene-gas-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-08-asbestos-acm-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-09-hydraulic-fluid-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-10-propane-lpg-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sds-qr-11-lead-acid-batteries-v1-0-draft,,NOT_ESTABLISHED,07-sds-library,1.0,Rough Draft,REQUIRED_WRAPPER,External/SDS MH control wrapper,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-01-1-handbook-acknowledgment-v1-0-draft,EHB-F-01.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-02-1-personal-info-update-v1-0-draft,EHB-F-02.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-05-1-pto-request-v1-0-draft,EHB-F-05.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-05-2-leave-of-absence-request-v1-0-draft,EHB-F-05.2,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-07-1-vehicle-policy-acknowledgment-v1-0-draft,EHB-F-07.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-07-2-tech-ai-use-agreement-v1-0-draft,EHB-F-07.2,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-08-1-performance-improvement-plan-v1-0-draft,EHB-F-08.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-08-2-grievance-appeal-v1-0-draft,EHB-F-08.2,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-08-3-exit-interview-v1-0-draft,EHB-F-08.3,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-09-1-harassment-complaint-v1-0-draft,EHB-F-09.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-10-1-first-day-onboarding-v1-0-draft,EHB-F-10.1,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
ehb-f-10-2-performance-review-v1-0-draft,EHB-F-10.2,ESTABLISHED,08-forms-ehb,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-employee-handbook-v3-0-draft,,NOT_ESTABLISHED,08-forms-ehb,3.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
bid-f-02-1-go-no-go-decision-sheet-v1-0-draft,BID-F-02.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
bid-f-04-1-subcontractor-itb-log-v1-0-draft,BID-F-04.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
bid-f-05-1-bid-submittal-cover-v1-0-draft,BID-F-05.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-01-1-equipment-asset-onboarding-v1-0-draft,EOM-F-01.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-02-1-operator-certification-log-v1-0-draft,EOM-F-02.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-03-1-equipment-assignment-transfer-v1-0-draft,EOM-F-03.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-05-1-equipment-maintenance-request-v1-0-draft,EOM-F-05.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-05-2-return-to-service-release-v1-0-draft,EOM-F-05.2,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-05-3-fuel-mileage-hour-log-v1-0-draft,EOM-F-05.3,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-05-4-planned-service-event-roster-v1-0-draft,EOM-F-05.4,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
eom-f-06-1-equipment-disposition-record-v1-0-draft,EOM-F-06.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
fin-f-02-1-budget-baseline-entry-v1-0-draft,FIN-F-02.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
fin-f-04-1-change-order-log-v1-0-draft,FIN-F-04.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
fin-f-05-1-expense-report-v1-0-draft,FIN-F-05.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
fin-f-06-1-month-end-reconciliation-v1-0-draft,FIN-F-06.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-operations-manual-v1-0-draft,,NOT_ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mish-manual-v3-0-draft,,NOT_ESTABLISHED,09-forms-operations,3.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
pep-f-02-1-project-initiation-checklist-v1-0-draft,PEP-F-02.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
pep-f-03-1-procore-setup-verification-v1-0-draft,PEP-F-03.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
pep-f-07-1-oac-meeting-minutes-v1-0-draft,PEP-F-07.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
pep-f-08-1-closeout-punch-list-v1-0-draft,PEP-F-08.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sub-f-02-1-subcontractor-prequalification-v1-0-draft,SUB-F-02.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sub-f-05-1-subcontractor-performance-eval-v1-0-draft,SUB-F-05.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sub-f-06-1-conditional-lien-waiver-v1-0-draft,SUB-F-06.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
sub-f-06-2-unconditional-lien-waiver-v1-0-draft,SUB-F-06.2,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
wmg-f-02-1-receiving-inspection-log-v1-0-draft,WMG-F-02.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
wmg-f-03-1-tool-checkout-log-v1-0-draft,WMG-F-03.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
wmg-f-06-1-material-delivery-ticket-v1-0-draft,WMG-F-06.1,ESTABLISHED,09-forms-operations,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-10-1-toolbox-talk-log-v1-0-draft,MISH-F-10.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-11-1-incident-report-v1-0-draft,MISH-F-11.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-12-1-corrective-action-order-v1-0-draft,MISH-F-12.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-14-1-chemical-inventory-log-v1-0-draft,MISH-F-14.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-14-2-spill-report-v1-0-draft,MISH-F-14.2,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-16-1-respirator-fit-test-v1-0-draft,MISH-F-16.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-17-1-silica-exposure-control-v1-0-draft,MISH-F-17.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-21-1-fall-protection-inspection-v1-0-draft,MISH-F-21.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-22-1-scaffold-inspection-v1-0-draft,MISH-F-22.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-25-1-trenching-inspection-v1-0-draft,MISH-F-25.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-27-1-loto-permit-v1-0-draft,MISH-F-27.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-30-1-hot-work-permit-v1-0-draft,MISH-F-30.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-32-1-confined-space-permit-v1-0-draft,MISH-F-32.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-38-1-crane-lift-plan-v1-0-draft,MISH-F-38.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-40-1-daily-equipment-inspection-v1-0-draft,MISH-F-40.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-41-1-vehicle-pre-trip-inspection-v1-0-draft,MISH-F-41.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-46-1-first-aid-log-v1-0-draft,MISH-F-46.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-47-1-fire-extinguisher-inspection-v1-0-draft,MISH-F-47.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-48-1-emergency-drill-log-v1-0-draft,MISH-F-48.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-50-1-modified-duty-agreement-v1-0-draft,MISH-F-50.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-51-1-site-safety-audit-v1-0-draft,MISH-F-51.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-53-1-subcontractor-safety-prequal-v1-0-draft,MISH-F-53.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-55-1-stop-work-authority-log-v1-0-draft,MISH-F-55.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-9-1-pre-job-safety-plan-v1-0-draft,MISH-F-09.1,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
form-mish-f-9-2-job-hazard-analysis-v1-0-draft,MISH-F-09.2,ESTABLISHED,10-forms-mish,1.0,Rough Draft,REQUIRED,Blank controlled form/template,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-company-bible-v1-0-draft,,NOT_ESTABLISHED,company-bible,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
